ID,Pitcher,PitcherThrows,PitcherTeam,RelSpeed,SpinRate,SpinAxis,InducedVertBreak,HorzBreak,RelHeight,RelSide,RetagPitchType
1,Pitcher A,Right,Team A,94.12374,2486.751183,226.784705,9.1213,8.66926,5.54946,1.75546,Fastball
2,Pitcher A,Right,Team A,83.00579,2913.832817,79.516763,0.25146,-5.50355,5.54872,1.7624,Slider
3,Pitcher A,Right,Team A,92.71821,2378.211055,263.751026,3.26173,17.95532,5.5703,1.66684,Sinker
4,Pitcher A,Right,Team A,78.75718,2910.24206,47.839311,-5.29528,-7.57406,5.64562,1.8413,Slider
5,Pitcher A,Right,Team A,91.77008,2180.418555,263.45064,3.31229,18.75072,5.44747,1.81584,Sinker
6,Pitcher A,Right,Team A,82.91343,2837.662301,78.418802,0.12134,-5.30496,5.47344,1.70654,Slider
7,Pitcher A,Right,Team A,83.27913,2740.730349,51.93777,-3.05669,-5.3274,5.5018,1.82351,Slider
8,Pitcher A,Right,Team A,83.26587,2846.806127,27.483296,-3.47189,-2.46815,5.53103,1.56266,Slider
9,Pitcher A,Right,Team A,92.61053,2307.349395,210.468111,8.58245,4.40827,5.47637,1.80758,Fastball
10,Pitcher A,Right,Team A,92.18645,2504.339715,202.611888,8.80894,3.26886,5.46921,1.67082,Fastball
11,Pitcher A,Right,Team A,92.9831,2465.187339,206.940953,9.60749,4.38811,5.51668,1.92621,Fastball
12,Pitcher A,Right,Team A,83.46648,2859.02744,35.912788,-2.35039,-2.59559,5.39209,1.76222,Slider
13,Pitcher A,Right,Team A,92.36228,2378.545919,207.727241,12.02603,5.74646,5.38469,1.96364,Fastball
14,Pitcher A,Right,Team A,91.72572,2386.885401,204.410283,10.13064,4.08386,5.53252,1.63668,Fastball
15,Pitcher A,Right,Team A,78.09144,2840.741665,37.002027,-10.26969,-8.8417,5.62926,1.80152,Curveball
16,Pitcher A,Right,Team A,81.39438,2909.336317,46.714201,-8.94808,-10.77209,5.62698,1.67378,Curveball
17,Pitcher A,Right,Team A,91.04411,2388.433243,212.236952,10.29221,5.92055,5.79828,1.42084,Fastball
18,Pitcher A,Right,Team A,87.93384,1964.963979,257.758539,5.32752,19.29178,5.5104,1.78348,Changeup
19,Pitcher A,Right,Team A,81.21414,2918.652202,47.826223,-4.69154,-6.40929,5.70023,1.67683,Slider
20,Pitcher A,Right,Team A,91.59726,2332.394674,227.028875,7.83819,7.22839,5.83104,1.53318,Fastball
21,Pitcher A,Right,Team A,92.69354,2318.377074,226.64328,10.63012,10.19024,5.67651,1.61071,Fastball
22,Pitcher A,Right,Team A,91.03371,2369.745429,222.033427,10.46638,8.43646,5.8501,2.02589,Fastball
23,Pitcher A,Right,Team A,81.02013,2862.639737,68.270987,-3.06752,-11.28674,5.53579,1.96086,Slider
24,Pitcher A,Right,Team A,82.44401,2862.696851,53.805499,-1.56658,-3.81563,5.5718,1.56131,Slider
25,Pitcher A,Right,Team A,81.18589,2925.120637,48.880815,-4.01418,-6.04457,5.56082,1.60561,Slider
26,Pitcher A,Right,Team A,93.83115,2440.177584,243.658001,8.12477,14.41237,5.69173,1.42662,Sinker
27,Pitcher A,Right,Team A,81.83724,2868.140565,33.274327,-8.20331,-6.14776,5.56024,1.4722,Slider
28,Pitcher A,Right,Team A,91.66478,2396.871798,258.518764,4.45008,16.23536,5.69059,1.4961,Sinker
29,Pitcher A,Right,Team A,81.96838,2936.319117,54.964816,-4.43268,-8.01256,5.55848,1.67613,Slider
30,Pitcher A,Right,Team A,92.73847,2366.706924,253.898648,5.43004,15.07485,5.74447,1.47834,Sinker
31,Pitcher A,Right,Team A,93.08755,2448.087606,244.371691,7.56245,13.40831,5.70914,1.51011,Sinker
32,Pitcher A,Right,Team A,93.1341,2379.588506,236.819426,12.77568,17.85903,5.65841,1.27452,Sinker
33,Pitcher A,Right,Team A,93.20068,2571.211278,219.028543,8.06918,5.6915,5.62688,1.44129,Fastball
34,Pitcher A,Right,Team A,77.062,2879.86271,57.216129,-8.19367,-14.89741,5.77575,1.48013,Curveball
35,Pitcher A,Right,Team A,83.71192,3108.799836,64.604455,-3.66028,-10.47426,5.49022,1.57225,Slider
36,Pitcher A,Right,Team A,84.37754,3093.556197,55.384224,-4.6789,-8.6143,5.47765,1.59564,Slider
37,Pitcher A,Right,Team A,95.00578,2606.537638,229.831417,8.91465,9.2691,5.49288,1.78461,Fastball
38,Pitcher A,Right,Team A,94.77267,2681.075863,212.631239,11.05627,6.47012,5.42372,1.62127,Fastball
39,Pitcher A,Right,Team A,83.44126,2933.317843,40.461093,-6.66874,-6.8267,5.46875,1.59108,Slider
40,Pitcher A,Right,Team A,80.39342,3156.483232,53.066905,-7.89993,-12.55127,5.59505,1.48614,Curveball
41,Pitcher A,Right,Team A,81.14416,3043.773553,53.796936,-4.69256,-8.14524,5.45766,1.55634,Slider
42,Pitcher A,Right,Team A,92.96551,2627.429138,228.681063,7.20721,7.02099,5.45716,1.56901,Fastball
43,Pitcher A,Right,Team A,80.90067,2994.541526,45.816889,-6.31189,-7.92414,5.40597,1.941,Slider
44,Pitcher A,Right,Team A,78.50539,2909.178633,58.415347,-10.30902,-19.24576,5.59971,1.38863,Curveball
45,Pitcher A,Right,Team A,94.41264,2466.442113,244.571431,6.54697,12.04375,5.64217,1.38612,Sinker
46,Pitcher A,Right,Team A,88.42625,1931.340682,251.187791,6.48319,16.00355,5.42178,1.67412,Changeup
47,Pitcher A,Right,Team A,93.64219,2417.52852,234.057457,8.75166,10.73178,5.7349,1.17176,Sinker
48,Pitcher A,Right,Team A,78.11921,2958.936769,36.024001,-13.60312,-10.9526,5.76741,1.19974,Curveball
49,Pitcher A,Right,Team A,91.62529,2236.250235,201.642307,9.9506,3.5874,5.74327,1.20741,Fastball
50,Pitcher A,Right,Team A,92.63954,2440.589837,215.209393,8.50548,5.39107,5.58011,1.53701,Fastball
51,Pitcher A,Right,Team A,82.94397,2953.01701,55.401924,-3.30236,-6.22363,5.65777,1.4247,Slider
52,Pitcher A,Right,Team A,91.44474,2604.219613,209.174715,8.02142,3.97965,5.67532,1.3635,Fastball
53,Pitcher A,Right,Team A,92.55434,2491.021099,221.429833,8.33213,6.56461,5.62899,1.38507,Fastball
54,Pitcher A,Right,Team A,91.13819,2328.934949,208.473391,9.25678,4.54508,5.68151,1.40731,Fastball
55,Pitcher A,Right,Team A,80.79789,2800.258059,41.305769,-6.54489,-6.69012,5.6118,1.47438,Slider
56,Pitcher A,Right,Team A,80.28519,2838.960015,53.427886,-5.57969,-9.08843,5.59359,1.63477,Slider
57,Pitcher A,Right,Team A,80.00891,2991.474384,42.069475,-13.14572,-13.09883,5.69512,1.6858,Curveball
58,Pitcher A,Right,Team A,83.76775,3016.696549,58.075476,-4.35705,-9.1904,5.5823,1.54428,Slider
59,Pitcher A,Right,Team A,87.8803,1879.749817,254.070309,5.24681,14.42973,5.32295,2.14309,Changeup
60,Pitcher A,Right,Team A,93.00892,2486.098043,217.514772,6.23941,4.04288,5.4788,1.5785,Fastball
61,Pitcher A,Right,Team A,93.01119,2500.635789,224.637711,9.97138,8.79863,5.61726,1.67823,Fastball
62,Pitcher A,Right,Team A,93.55712,2505.610867,253.747082,4.49319,11.93135,5.50651,1.70336,Sinker
63,Pitcher A,Right,Team A,83.77115,2952.921735,49.514511,-4.40103,-6.32638,5.47454,1.66119,Slider
64,Pitcher A,Right,Team A,94.4438,2525.457819,216.754909,12.01497,8.30288,5.54311,1.53366,Fastball
65,Pitcher A,Right,Team A,80.7217,3247.708287,44.502783,-12.94268,-13.93828,5.65194,1.67226,Curveball
66,Pitcher A,Right,Team A,84.44977,3067.734737,95.813018,2.20654,-10.96564,5.41725,1.75429,Slider
67,Pitcher A,Right,Team A,82.2595,3021.520491,79.769274,-0.02921,-7.83237,5.37525,1.76085,Slider
68,Pitcher A,Right,Team A,93.65933,2611.069592,209.978446,7.64079,3.89862,5.53343,1.66319,Fastball
69,Pitcher A,Right,Team A,89.16879,1987.123911,262.578586,2.67571,12.65142,5.27965,1.92891,Changeup
70,Pitcher A,Right,Team A,84.31517,3014.034548,71.133897,-1.64984,-8.31894,5.51696,1.72609,Slider
71,Pitcher A,Right,Team A,93.0137,2459.707022,217.733929,11.50697,8.11981,5.71054,1.62192,Fastball
72,Pitcher A,Right,Team A,92.72076,2417.314607,212.565168,9.15016,5.22646,5.80133,1.39841,Fastball
73,Pitcher A,Right,Team A,93.04156,2523.674779,219.589354,9.74075,7.35272,5.68227,1.7387,Fastball
74,Pitcher A,Right,Team A,92.54199,2512.001473,215.57141,11.62816,7.63811,5.67149,1.62163,Fastball
75,Pitcher A,Right,Team A,78.93029,3175.539374,51.810054,-10.18292,-14.65509,5.73529,1.47471,Curveball
76,Pitcher A,Right,Team A,94.15283,2486.393619,222.863388,8.7856,7.32615,5.72257,1.46589,Fastball
77,Pitcher A,Right,Team A,93.54453,2621.407274,223.263184,12.51572,10.85225,5.5611,1.68886,Fastball
78,Pitcher A,Right,Team A,81.53581,3038.996282,43.735722,-5.67752,-6.50555,5.67709,1.38302,Slider
79,Pitcher A,Right,Team A,92.76049,2599.503146,201.627995,10.53886,3.84831,5.73159,1.56104,Fastball
80,Pitcher A,Right,Team A,91.56702,2646.868532,237.792453,6.76926,9.25626,5.67851,1.53512,Fastball
81,Pitcher A,Right,Team A,80.63395,2767.443712,57.615203,-4.15819,-8.41134,5.70056,1.56541,Slider
82,Pitcher A,Right,Team A,86.33399,1766.985903,253.222701,5.51906,14.72056,5.56772,1.68071,Changeup
83,Pitcher A,Right,Team A,91.64961,2275.845188,247.326606,7.03272,14.55194,5.64988,1.55274,Sinker
84,Pitcher A,Right,Team A,92.46547,2485.338301,249.45886,7.28087,16.88863,5.6711,1.45265,Sinker
85,Pitcher A,Right,Team A,92.91151,2440.756448,223.288962,11.72571,9.98989,5.78015,1.2336,Fastball
86,Pitcher A,Right,Team A,94.31876,2409.882618,231.34899,10.88008,12.08851,5.64428,1.52764,Sinker
87,Pitcher A,Right,Team A,92.66176,2425.198883,247.144692,6.36469,12.49898,5.49559,1.48783,Sinker
88,Pitcher A,Right,Team A,81.89512,2860.075381,45.230881,-6.80055,-8.22705,5.54263,1.52594,Slider
89,Pitcher A,Right,Team A,92.19841,2433.225295,246.974327,7.72748,15.20847,5.53053,1.48776,Sinker
90,Pitcher A,Right,Team A,91.75904,2377.602193,253.734469,5.91555,16.06221,5.55981,1.59122,Sinker
91,Pitcher A,Right,Team A,92.15338,2457.383946,252.228912,7.12926,18.41221,5.60507,1.40083,Sinker
92,Pitcher A,Right,Team A,81.83399,2912.350381,73.567563,-1.315,-9.64571,5.48779,1.5699,Slider
93,Pitcher A,Right,Team A,73.62,2678.162075,41.406082,-11.71217,-11.90312,5.85704,1.474,Curveball
94,Pitcher A,Right,Team A,78.81582,3037.047102,53.003157,-8.6378,-13.3469,5.75706,1.36326,Curveball
